Mối hận của ông sếp sau 13 năm 'đầu tư tình cảm' cho bồ nhí	https://i1-vnexpress.vnecdn.net/2023/04/16/u2240p1t1d13724866f21dt2007082-2928-9408-1681627062.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=rYU2xHl4-RXfP0QVJzmY2w	TRUNG QUỐCSuốt 13 năm, Phó bí thư Thành uỷ Tế Nam Đoạn Dịch Hoà bao bồ nhí kém 30 tuổi có cuộc sống sung túc, nhưng luôn bị ép phải bỏ vợ và bị doạ tiết lộ về cuộc tình.	moi-han-cua-ong-sep-sau-13-nam-dau-tu-tinh-cam-cho-bo-nhi-4593945
Hàng xóm trồng sầu riêng lời 500 triệu khiến gia đình tôi cãi vã	https://i1-vnexpress.vnecdn.net/2023/04/16/saurieng1677221317795316772217-6574-1385-1681629670.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=7rskndcWxLRhzCICVclRGA	Trăm người bán, vạn người mua là lý do vợ đốc thúc tôi vay tiền đầu tư trồng sầu riêng để bắt kịp hàng xóm.	hang-xom-trong-sau-rieng-loi-500-trieu-khien-gia-dinh-toi-cai-va-4594116
Miền Bắc tuần tới nắng nóng	https://i1-vnexpress.vnecdn.net/2023/04/16/huy-7362-1681639469-6345-1681639476.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=EHdfDZByi7gHQvRgVvhQKg	Tây Bắc Bộ và Trung Bộ bước vào đợt nắng nóng dự kiến kéo dài cả tuần tới, Hà Nội cùng các tỉnh đồng bằng sông Hồng, Đông Bắc Bộ cao nhất 34 độ C.	mien-bac-tuan-toi-nang-nong-4594161
Cháy chung cư ở Dubai, ít nhất 16 người chết	https://i1-vnexpress.vnecdn.net/2023/04/16/5a32d9962f1b42c6bd9e09a776d2f5-7383-6950-1681646717.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=emPkKxWSW8Qsc1naX8Dduw	Một tòa nhà chung cư ở thành phố Dubai, Các Tiểu vương quốc Arab Thống nhất, ngày 15/4 bốc cháy, khiến ít nhất 16 người chết và 9 người bị thương.	chay-chung-cu-o-dubai-it-nhat-16-nguoi-chet-4594177
Fitzpatrick mơ vô địch PGA Tour trên sân đấu yêu thích	https://i1-thethao.vnecdn.net/2023/04/16/1681598402250-jpeg-1681646799-7475-1681646810.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=wcj0KMtGM1aWOaKEaNFjWA	MỸĐKVĐ major US Open Matt Fitzpatrick đang rộng cửa đăng quang RBC Heritage 2023 khi nắm đỉnh bảng -14 ngay nơi anh thích từ bé - Harbour Town Golf Links ở Nam Carolina.	fitzpatrick-mo-vo-dich-pga-tour-tren-san-dau-yeu-thich-4594179
Chủ nhà chống trả 4 kẻ trộm ôtô	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	MỸChủ nhà lao tới khống chế tên trộm vừa leo vào xe, kéo hắn ra khỏi ghế lái song thêm 3 tên nữa xuất hiện để bảo vệ đồng phạm.	chu-nha-chong-tra-4-ke-trom-oto-4594175
MV phong cách Ấn Độ của Võ Hạ Trâm gây chú ý	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	Nhạc phẩm "Về với em" được Võ Hạ Trâm thực hiện theo phong cách Ấn Độ, đứng đầu top thịnh hành và nhận nhiều lời khen.	mv-phong-cach-an-do-cua-vo-ha-tram-gay-chu-y-4594091
Xe đạp bánh vuông	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	Kỹ sư người Ukraine Sergii Gordieiev tháo thay thế bánh xe hình tròn ở xe đạp thông thường bằng bánh xe khung vuông với phần lớn bộ phận tái chế.	xe-dap-banh-vuong-4593324
'Công chúa' nhà Shinawatra đưa gia tộc trở lại chính trường	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	Paetongtarn, con gái ông Thaksin, đang đưa gia tộc Shinawatra trở lại chính trường sau 15 năm, khi trở thành ứng viên sáng giá trong cuộc đua ghế thủ tướng Thái Lan.	cong-chua-nha-shinawatra-dua-gia-toc-tro-lai-chinh-truong-4590997
Dấu hiệu cơ thể thiếu kẽm	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	Thiếu kẽm có thể khiến tóc rụng, chán ăn, cân nặng giảm, cơ thể dễ mắc các bệnh mạn tính và luôn cảm thấy lạnh hơn người bình thường.	dau-hieu-co-the-thieu-kem-4594055
Golfer Zimbabwe vô địch International Series Vietnam	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	KHÁNH HÒAChiều 16/4, golfer Zimbabwe 25 tuổi Kieran Vincent đăng quang ở điểm -19 tại giải Asian Tour với quỹ thưởng hai triệu USD trên sân KN Golf Link Cam Ranh par72.	golfer-zimbabwe-vo-dich-international-series-vietnam-4594178
Ngực chảy mủ sau khi cấy chất lạ	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	HÀ NỘISau vài ngày nâng ngực bằng "công nghệ cấy noãn", người phụ nữ 40 tuổi xuất hiện nhiều khối sưng nề, đau nhức, chảy mủ.	nguc-chay-mu-sau-khi-cay-chat-la-4594171
HLV trưởng CAHN vắng mặt	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	HLV Paulo Foiani sẽ không trực tiếp chỉ đạo khi Công an Hà Nội tiếp Nam Định ở vòng 7 V-League 2023.	hlv-truong-cahn-vang-mat-4594167
Lâm Tâm Như: 'Chồng hy sinh sự nghiệp vì gia đình'	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	Diễn viên Đài Loan Lâm Tâm Như nói chồng cô, Hoắc Kiến Hoa, từ chối nhiều dự án phim ảnh để ở nhà chăm con.	lam-tam-nhu-chong-hy-sinh-su-nghiep-vi-gia-dinh-4594168
Wagner trao đổi tù nhân với quân đội Ukraine	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	Nhóm Wagner thông báo trả tự do cho hơn 100 lính Ukraine nhân ngày Lễ Phục sinh của Chính thống giáo, song không rõ bao nhiêu binh sĩ Nga được trao đổi.	wagner-trao-doi-tu-nhan-voi-quan-doi-ukraine-4594165
Tặng quà phim 'The Super Mario Bros. Movie'	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	VnExpress tặng độc giả các phần quà từ phim hoạt hình "The Super Mario Bros. Movie" dựa trên trò chơi điện tử cùng tên.	tang-qua-phim-the-super-mario-bros-movie-4594117
Khủng hoảng vì 'ngại đẻ', Hàn Quốc coi lao động nhập cư như cứu cánh	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	Không kìm được tỷ lệ sinh giảm, Hàn Quốc buộc phải tuyển dụng thêm lao động nước ngoài.	khung-hoang-vi-ngai-de-han-quoc-coi-lao-dong-nhap-cu-nhu-cuu-canh-4594132
Ten Hag: 'Man Utd cần tiền đạo biết ghi bàn'	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	ANHTrên Sky Sports, HLV Erik ten Hag nói về tầm quan trọng của việc chiêu mộ tiền đạo cắm đẳng cấp, thậm chí cho rằng điều đó có ý nghĩa sống còn với hy vọng cạnh tranh danh hiệu của Man Utd.	ten-hag-man-utd-can-tien-dao-biet-ghi-ban-4594155
Cựu nghị sĩ Ấn Độ bị ám sát trên sóng truyền hình	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	Cựu nghị sĩ Atiq Ahmed cùng em trai Ashraf bị ám sát ngay trên sóng truyền hình, khi đang được cảnh sát áp giải đến bệnh viện.	cuu-nghi-si-an-do-bi-am-sat-tren-song-truyen-hinh-4594153
Bún chả Hà Nội hương vị xưa	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	Chả miếng, chả băm đượm mùi nướng than, mềm ngọt mà không bị khô, bún trắng muốt, nước chấm hài hòa chua ngọt, dậy vị the cay của ớt, tỏi giã, điểm dăm ba lát ớt đỏ bắt mắt.. tất cả quyện lại như bản hòa tấu đẹp.	bun-cha-ha-noi-huong-vi-xua-4594150
Một cá nhân bị phạt hơn nửa tỷ đồng vì thao túng cổ phiếu	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	Uỷ ban Chứng khoán vừa phạt một cá nhân 550 triệu đồng vì dùng 24 tài khoản nhằm tạo cung cầu giả cho cổ phiếu C69.	mot-ca-nhan-bi-phat-hon-nua-ty-dong-vi-thao-tung-co-phieu-4594126
Sáu sai lầm khiến du khách tốn tiền	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	Chỉ mang thẻ thanh toán hoặc chỉ mang tiền mặt, không cân đo hành lý là những sai lầm phổ biến có thể khiến du khách phải chi nhiều tiền.	sau-sai-lam-khien-du-khach-ton-tien-4594158
Bệnh viện ở Trung Quốc gây tranh cãi vì bắt nam sinh cởi hết đồ khám sức khỏe	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	Một bệnh viện ở tỉnh Chiết Giang phải xin lỗi sau khi các bác sĩ tại đây yêu cầu học sinh nam cởi hết đồ để kiểm tra sức khỏe.	benh-vien-o-trung-quoc-gay-tranh-cai-vi-bat-nam-sinh-coi-het-do-kham-suc-khoe-4594127
Điểm tin 17h: 5 tuyến cáp quang biển đứt gần nửa năm chưa sửa xong; Ngoại trưởng Mỹ khen ẩm thực Việt	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	100 triệu lượt tải ứng dụng chứa mã độc trên Android; Hàn Quốc bắn 10 phát cảnh cáo tàu Triều Tiên vượt giới tuyến...	diem-tin-17h-5-tuyen-cap-quang-bien-dut-gan-nua-nam-chua-sua-xong-ngoai-truong-my-khen-am-thuc-viet-4594162
Đau mắt đỏ - triệu chứng mắc Covid mới	data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==	INDONESIAVăn phòng Y tế Jakarta cho biết đau mắt đỏ là một trong những triệu chứng mới của người nhiễm biến chủng XBB.1.16 của Covid-19.	dau-mat-do-trieu-chung-mac-covid-moi-4594125
Hồ Quang Hiếu yêu người mẫu kém 17 tuổi	https://i1-giaitri.vnecdn.net/2023/04/16/hoquanghieutop-1681636081-8575-1681636514.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=YvX_1wO5rM0JB0Vs5zi6vQ	Hồ Quang Hiếu và người mẫu Tuệ Như - nhỏ hơn anh 17 tuổi - hẹn hò được ba tháng.	ho-quang-hieu-yeu-nguoi-mau-kem-17-tuoi-4594146
Phù mặt, nổi mẩn đỏ sau ăn trứng kiến	https://i1-suckhoe.vnecdn.net/2023/04/16/nangngucchui165778061994981657-6964-3141-1681642790.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=0iwAHiemPSwIydcw1ALsVQ	QUẢNG NINHSau ba tiếng ăn trứng kiến, người phụ nữ 32 tuổi xuất hiện mẩn đỏ, chóng mặt, được chẩn đoán sốc phản vệ.	phu-mat-noi-man-do-sau-an-trung-kien-4593679
100 triệu lượt tải ứng dụng chứa mã độc trên Android	https://i1-sohoa.vnecdn.net/2023/04/16/Android-1681634862-3997-1681635064.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=Sus0u3ZvBfTz_ziVbxLdiQ	Khoảng 60 ứng dụng phổ biến như Lotte Cinema, Live Score, với hơn 100 triệu lượt tải trên Android, vô tình dính mã độc Goldoson đánh cắp dữ liệu.	100-trieu-luot-tai-ung-dung-chua-ma-doc-tren-android-4594129